5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,500;105,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;2,000;140,00;ST2104 ME Meeting
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Statusmeeting TNA
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Statusmeeting TNA
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2104 ME Statusmeeting TNA
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;ST2104 ME Statusmeeting TNA
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;ST2102 ME Supportprozess neuer Webshop
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;2,000;140,00;ST1234 SR331209 Realisierung
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;ST1234 SR331209 Kommunikation
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;PA8823 Pimcore-Shop Absprachen
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,500;105,00;PA8823 Warungsseite / Weiterleitungen
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;PA8823 GoLive Seminarshop
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;PA8823 GoLive-Planung // Consentmanager
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;IM792113 0,25
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;IM813514 - Re-Freigabe - Ansicht ändern
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;ST1234 Testgruppe für P2M im UM - weiter
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;SR339407 Aktualisierung TÜV Nord Logo in
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;ST1234 die doppelten Datensätze aus UM-L
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,750;52,50;IM816171 ST1234 Migration Newsletter-Sei
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;IM817052 Formular kann im Kundenportal n
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;ST1234 Störung Webshop zw. 08:54 und 09:
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;IM817052 Formular kann im Kundenportal n
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;1,000;70,00;ST2102 Power Platform
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;ST2102 IM816877
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;ST2102 IM816780
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,500;35,00;ST2104 Power Platform ALM
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,250;17,50;ST2102 Power Platform
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,150;10,50;ST1234 IM815385
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,150;10,50;ST1234 IM816165
5;D.IUK.15.V10.D28;AW - TN Akademie Bereichssysteme;609700;0,150;10,50;ST1234 IM816326
